filename,bucket_genus,bucket_relative_path,plantnet_genus,plantnet_family,plantnet_genus_score,identified_at,notes
PXL_20260415_021146207.jpg,Rhododendron,Rhododendron/PXL_20260415_021146207.jpg,Rhododendron,Ericaceae,0.981050,2026-05-05T04:53:41+00:00,
PXL_20260419_010445192.jpg,Rosa,Rosa/PXL_20260419_010445192.jpg,Rosa,Rosaceae,0.986370,2026-05-05T04:54:02+00:00,
PXL_20260419_010708234.jpg,Hydrangea,Hydrangea/PXL_20260419_010708234.jpg,Hydrangea,Hydrangeaceae,0.955180,2026-05-05T04:54:11+00:00,
PXL_20260419_010910294.jpg,Viola,Viola/PXL_20260419_010910294.jpg,Viola,Violaceae,0.841780,2026-05-05T04:54:33+00:00,
PXL_20260419_011052184.jpg,Cyclamen,Cyclamen/PXL_20260419_011052184.jpg,Cyclamen,Primulaceae,0.951810,2026-05-05T04:54:45+00:00,
PXL_20260419_015134887.jpg,Viola,Viola/PXL_20260419_015134887.jpg,Viola,Violaceae,0.840310,2026-05-05T04:54:53+00:00,
PXL_20260419_015554352.MP.jpg,Rosa,Rosa/PXL_20260419_015554352.MP.jpg,Rosa,Rosaceae,0.858510,2026-05-05T04:55:13+00:00,
PXL_20260419_015610755.jpg,Digitalis,Digitalis/PXL_20260419_015610755.jpg,Digitalis,Plantaginaceae,0.846220,2026-05-05T04:55:20+00:00,
PXL_20260419_015640670.jpg,Antirrhinum,Antirrhinum/PXL_20260419_015640670.jpg,Antirrhinum,Plantaginaceae,0.946490,2026-05-05T04:55:26+00:00,
PXL_20260419_015658153.jpg,Nemesia,Nemesia/PXL_20260419_015658153.jpg,Nemesia,Scrophulariaceae,0.900870,2026-05-05T04:55:30+00:00,
PXL_20260419_015859125.jpg,Gerbera,Gerbera/PXL_20260419_015859125.jpg,Gerbera,Asteraceae,0.949120,2026-05-05T04:55:40+00:00,
PXL_20260419_015936627.jpg,Primula,Primula/PXL_20260419_015936627.jpg,Primula,Primulaceae,0.941980,2026-05-05T04:55:49+00:00,
PXL_20260419_023453243.jpg,Dianthus,Dianthus/PXL_20260419_023453243.jpg,Dianthus,Caryophyllaceae,0.882110,2026-05-05T04:55:54+00:00,
PXL_20260419_023708769.jpg,Paeonia,Paeonia/PXL_20260419_023708769.jpg,Paeonia,Paeoniaceae,0.982940,2026-05-05T04:56:00+00:00,
PXL_20260419_204803134.jpg,Antirrhinum,Antirrhinum/PXL_20260419_204803134.jpg,Antirrhinum,Plantaginaceae,0.874430,2026-05-05T04:56:10+00:00,
PXL_20260419_204822113.jpg,Verbena,Verbena/PXL_20260419_204822113.jpg,Verbena,Verbenaceae,0.973620,2026-05-05T04:56:15+00:00,
PXL_20260424_232325435.jpg,Viola,Viola/PXL_20260424_232325435.jpg,Viola,Violaceae,0.927590,2026-05-05T04:56:48+00:00,
PXL_20260502_180045157.MP.jpg,Tulipa,Tulipa/PXL_20260502_180045157.MP.jpg,Tulipa,Liliaceae,0.867340,2026-05-05T04:57:21+00:00,
PXL_20260502_193142461.jpg,Tulipa,Tulipa/PXL_20260502_193142461.jpg,Tulipa,Liliaceae,0.974610,2026-05-05T04:57:36+00:00,
PXL_20260502_195420461.jpg,Tulipa,Tulipa/PXL_20260502_195420461.jpg,Tulipa,Liliaceae,0.923820,2026-05-05T04:57:41+00:00,
PXL_20260503_211800599.jpg,Amsonia,Amsonia/PXL_20260503_211800599.jpg,Amsonia,Apocynaceae,0.972070,2026-05-05T04:58:20+00:00,
PXL_20260503_230803160.jpg,Vinca,Vinca/PXL_20260503_230803160.jpg,Vinca,Apocynaceae,0.910020,2026-05-05T04:58:30+00:00,
PXL_20260503_230840411.jpg,Rhododendron,Rhododendron/PXL_20260503_230840411.jpg,Rhododendron,Ericaceae,0.993050,2026-05-05T04:58:34+00:00,
photo_2026-04-11_13-43-10.jpg,Narcissus,Narcissus/photo_2026-04-11_13-43-10.jpg,Narcissus,Amaryllidaceae,0.950740,2026-05-05T04:58:36+00:00,
photo_2026-04-11_18-58-16 (2).jpg,Viola,Viola/photo_2026-04-11_18-58-16 (2).jpg,Viola,Violaceae,0.933950,2026-05-05T04:58:38+00:00,
photo_2026-04-11_18-58-16.jpg,Malus,Malus/photo_2026-04-11_18-58-16.jpg,Malus,Rosaceae,0.826310,2026-05-05T04:58:40+00:00,
PXL_20260326_204251550.jpg,Lupinus,Lupinus/PXL_20260326_204251550.jpg,Lupinus,Fabaceae,0.659000,2026-05-05T05:01:43+00:00,
PXL_20260326_213052649.MP.jpg,Castilleja,Castilleja/PXL_20260326_213052649.MP.jpg,Castilleja,Orobanchaceae,0.753820,2026-05-05T05:02:31+00:00,
PXL_20260329_211001952.jpg,Salvia,Salvia/PXL_20260329_211001952.jpg,Salvia,Lamiaceae,0.770830,2026-05-05T05:03:16+00:00,
PXL_20260330_010919214.jpg,Antirrhinum,Antirrhinum/PXL_20260330_010919214.jpg,Antirrhinum,Plantaginaceae,0.682710,2026-05-05T05:04:21+00:00,
PXL_20260330_020253084.jpg,Aloe,Aloe/PXL_20260330_020253084.jpg,Aloe,Asphodelaceae,0.759960,2026-05-05T05:04:32+00:00,
PXL_20260331_011959014.jpg,Polygala,Polygala/PXL_20260331_011959014.jpg,Polygala,Polygalaceae,0.737540,2026-05-05T05:05:49+00:00,
PXL_20260401_021341748.jpg,Leptospermum,Leptospermum/PXL_20260401_021341748.jpg,Leptospermum,Myrtaceae,0.794860,2026-05-05T05:06:22+00:00,
PXL_20260405_173325600.jpg,Prunus,Prunus/PXL_20260405_173325600.jpg,Prunus,Rosaceae,0.724280,2026-05-05T05:07:34+00:00,
PXL_20260405_175024871.jpg,Prunus,Prunus/PXL_20260405_175024871.jpg,Prunus,Rosaceae,0.788370,2026-05-05T05:07:44+00:00,
PXL_20260405_201455248.jpg,Oreomecon,Oreomecon/PXL_20260405_201455248.jpg,Oreomecon,Papaveraceae,0.767240,2026-05-05T05:08:05+00:00,
PXL_20260405_223422948.jpg,Viola,Viola/PXL_20260405_223422948.jpg,Viola,Violaceae,0.740820,2026-05-05T05:08:40+00:00,
PXL_20260409_180833636.jpg,Limonium,Limonium/PXL_20260409_180833636.jpg,Limonium,Plumbaginaceae,0.741200,2026-05-05T05:08:46+00:00,
PXL_20260417_020031517.jpg,Bignonia,Bignonia/PXL_20260417_020031517.jpg,Bignonia,Bignoniaceae,0.797000,2026-05-05T05:09:42+00:00,
PXL_20260419_010906991.jpg,Nemesia,Nemesia/PXL_20260419_010906991.jpg,Nemesia,Scrophulariaceae,0.724140,2026-05-05T05:10:19+00:00,
PXL_20260420_001451253.jpg,Calystegia,Calystegia/PXL_20260420_001451253.jpg,Calystegia,Convolvulaceae,0.745870,2026-05-05T05:10:40+00:00,
PXL_20260502_201437093.MP.jpg,Prunus,Prunus/PXL_20260502_201437093.MP.jpg,Prunus,Rosaceae,0.656100,2026-05-05T05:11:06+00:00,
